Average: 0.69336134453
PTC_FM 0 0.7142857142857143
PTC_FM 1 0.6571428571428571
PTC_FM 2 0.7142857142857143
PTC_FM 3 0.7142857142857143
PTC_FM 4 0.7142857142857143
PTC_FM 5 0.7142857142857143
PTC_FM 6 0.6857142857142857
PTC_FM 7 0.6571428571428571
PTC_FM 8 0.6857142857142857
PTC_FM 9 0.6764705882352942
