Tucker: 79.23$\pm$6.89
0: 0.723404255319149
1: 0.723404255319149
2: 0.8085106382978723
3: 0.8297872340425532
4: 0.8297872340425532
5: 0.851063829787234
6: 0.7872340425531915
7: 0.8043478260869565
8: 0.8260869565217391
9: 0.7391304347826086

TT: 82.22$\pm$3.49
0: 0.8297872340425532
1: 0.7872340425531915
2: 0.851063829787234
3: 0.7872340425531915
4: 0.851063829787234
5: 0.8297872340425532
6: 0.851063829787234
7: 0.8260869565217391
8: 0.8260869565217391
9: 0.782608695652174

CP: 83.09$\pm$4.37
0: 0.8297872340425532
1: 0.7659574468085106
2: 0.8723404255319149
3: 0.8297872340425532
4: 0.8297872340425532
5: 0.8723404255319149
6: 0.7872340425531915
7: 0.8260869565217391
8: 0.8260869565217391
9: 0.8695652173913043
