
CP: 93.65$\pm$4.18
0: 1.0
1: 0.9473684210526315
2: 0.8421052631578947
3: 0.9473684210526315
4: 1.0
5: 0.8947368421052632
6: 0.8947368421052632
7: 0.8947368421052632
8: 1.0
9: 0.9444444444444444


Tucker: 88.89$\pm$9.94
0: 1.0
1: 0.8421052631578947
2: 0.7894736842105263
3: 0.8947368421052632
4: 0.9473684210526315
5: 0.8947368421052632
6: 0.7894736842105263
7: 0.8421052631578947
8: 1.0
9: 0.8888888888888888
