Tucker: 66.12$\pm$5.52
0: 0.6176470588235294
1: 0.6470588235294118
2: 0.6176470588235294
3: 0.6470588235294118
4: 0.6176470588235294
5: 0.6470588235294118
6: 0.7575757575757576
7: 0.696969696969697
8: 0.6060606060606061
9: 0.7575757575757576

TT: 73.21$\pm$3.51
0: 0.6470588235294118
1: 0.8529411764705882
2: 0.7647058823529411
3: 0.7058823529411765
4: 0.7352941176470589
5: 0.7058823529411765
6: 0.7575757575757576
7: 0.696969696969697
8: 0.696969696969697
9: 0.7575757575757576

CP: 67.00$\pm$5.23
0: 0.6470588235294118
1: 0.6176470588235294
2: 0.6176470588235294
3: 0.6764705882352942
4: 0.7058823529411765
5: 0.6470588235294118
6: 0.7575757575757576
7: 0.6666666666666666
8: 0.6363636363636364
9: 0.7272727272727273
